Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Niue,NIU,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,0.33076,0.33076,1.08644,0.33076,0.33076,0.33076,0.33076,0.33076,0.34258,0.34258,0.34258,0.34258,0.3544,0.39582,0.39582,0.39582,16.39582,16.39582,16.40764,16.40764,16.62032,16.62563,16.61231,16.61944,16.63128,16.63123,
Niue,NIU,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,0.572538772,0.568993077,1.844974836,0.558614684,0.558614684,0.603788629,0.603788629,0.603788629,0.610849216,0.60620131,0.6016236,0.57779651,0.631792122,0.710337345,0.790157349,0.830249165,24.0125928,27.80858892,18.21213704,25.25199607,26.70187034,24.98619514,24.19897135,23.60413873,23.14063093,22.36812658,
Niue,NIU,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,2.6,2.7,2.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.877,3.147944444,3.269611111,3.329444444,3.351666667,3.226666667,3.390833333,
Niue,NIU,Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,57.77076,58.13076,58.88644,59.21076,59.21076,54.78076,54.78076,54.78076,56.08258,56.51258,56.94258,59.29077,56.0944,55.72282,50.09382,47.6748447,68.2800901,58.959554,90.0917886,64.975616,62.2440293,66.5392626,68.6488271,70.4090083,71.8704691,74.35236,
Wallis and Futuna,WLF,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
