Country Name,Country Code,Indicator Name,Indicator Code,2015
Canada,CAN,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,117401
France,FRA,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,1564489.6
Germany,DEU,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,8327615
Italy,ITA,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,1309600
Japan,JPN,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,2933272
Russian Federation,RUS,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,4391428
United Kingdom,GBR,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,1368397
United States,USA,Total final energy consumption (TFEC) (GWh),1.1_TOTAL.FINAL.ENERGY.CONSUM,16245295
